Addresses,Prices,Beds,Baths,Square Footage,Zip Code,State,City,Street Address
"1121 Pearl St   #A Columbus, IN 47201",$899/mo,1bd,1ba,638 sqft,47201,IN,Columbus,1121 Pearl St   #A
"202 S  Levy St Jasonville, IN 47438",$650/mo,2bd,1ba,912 sqft,47438,IN,Jasonville,202 S  Levy St
"1415 W  Jackson St Muncie, IN 47303","$1,000/mo",3bd,1ba,"1,576 sqft",47303,IN,Muncie,1415 W  Jackson St
"61108 Old County Road 17 #436 Goshen, IN 46526","$1,499/mo",4bd,2ba,"1,568 sqft",46526,IN,Goshen,61108 Old County Road 17 #436
"1516 Rolling Ridge Dr Noblesville, IN 46060","$1,525/mo",3bd,1.5ba,"1,601 sqft",46060,IN,Noblesville,1516 Rolling Ridge Dr
"12245 Pebble St #900 Fishers, IN 46038","$1,395/mo",2bd,1.5ba,"1,326 sqft",46038,IN,Fishers,12245 Pebble St #900
"524 Runnymede Ct Greenfield, IN 46140","$1,691/mo",3bd,2.5ba,"2,034 sqft",46140,IN,Greenfield,524 Runnymede Ct
"37 Ashwood Cir Brownsburg, IN 46112","$1,735/mo",3bd,2ba,"1,328 sqft",46112,IN,Brownsburg,37 Ashwood Cir
"634 Wooddale Ter  #2012 Greenwood, IN 46142",$825/mo,2bd,1.5ba,"1,013 sqft",46142,IN,Greenwood,634 Wooddale Ter  #2012
"Hampton in Highland Highland, IN 46322","$1,131 - $1,519/mo",1-2bd,1-2ba,No Data,46322,IN,Highland,Hampton in 
"1302 Sycamore St Crown Point, IN 46307","$1,300/mo",2bd,1ba,690 sqft,46307,IN,Crown Point,1302 Sycamore St
"906 Ohio St   #1 Michigan City, IN 46360",$950/mo,3bd,1ba,"2,000 sqft",46360,IN,Michigan City,906 Ohio St   #1
"Pangea Vineyards Indianapolis, IN 46235","$607 - $1,208/mo",Studio-2bd,1ba,No Data,46235,IN,Indianapolis,Pangea Vineyards
"7434 Melanie Ln Indianapolis, IN 46217","$1,400/mo",2bd,2.5ba,"1,152 sqft",46217,IN,Indianapolis,7434 Melanie Ln
"5715 E  Greenfield Ave Indianapolis, IN 46219",$995/mo,3bd,1ba,No Data,46219,IN,Indianapolis,5715 E  Greenfield Ave
"822 Christian Pl   #24 Indianapolis, IN 46204",$850/mo,1bd,1ba,415 sqft,46204,IN,Indianapolis,822 Christian Pl   #24
"1 bed, 420 sqft, $730 Bloomington, IN 47408",$730/mo,1bd,0ba,No Data,47408,IN,Bloomington,"1 bed, 420 sqft, $730"
"8027 Wagman St Camby, IN 46113","$2,300/mo",5bd,3ba,"2,736 sqft",46113,IN,,
"1325 Manchester Dr South Bend, IN 46615","$1,260/mo",3bd,1ba,850 sqft,46615,IN,South Bend,1325 Manchester Dr
"White Oak Place Of Edinburg Edinburgh, IN 46124",$400/mo,1bd,1ba,No Data,46124,IN,Edinburgh,White Oak Place Of Edinburg
"1129 Bayard Park Dr   #B Evansville, IN 47714",$725/mo,2bd,1ba,No Data,47714,IN,Evansville,1129 Bayard Park Dr   #B
"Beautifully Restored Double in Excellent Neighborhood Richmond, IN 47374",$975/mo,3bd,1.5ba,No Data,47374,IN,Richmond,Beautifully Restored Double in Excellent Neighborhood
"3501 Cobblestone Cir #2 Waterloo, IA 50701",$950/mo,2bd,1ba,987 sqft,50701,IA,Waterloo,3501 Cobblestone Cir #2
"1275 S  91st St West Des Moines, IA 50266","$2,050/mo",3bd,3ba,"1,519 sqft",50266,IA,Des Moines,1275 S  91st St West
"91 1/2 Main St   #1 Maxwell, IA 50161",$725/mo,1bd,1ba,No Data,50161,IA,Maxwell,91 1/2 Main St   #1
"317 N  Lucas St Iowa City, IA 52245","$2,800/mo",4bd,2ba,"1,736 sqft",52245,IA,Iowa City,317 N  Lucas St
"1349 Southview Cir Coralville, IA 52241","$1,350/mo",3bd,1.5ba,"1,120 sqft",52241,IA,Coralville,1349 Southview Cir
"3235 Pioneer Ave  SE #5 Cedar Rapids, IA 52403",$725/mo,2bd,1ba,No Data,52403,IA,Cedar Rapids,3235 Pioneer Ave  SE #5
"116 Lincoln Ave  #8 Lisbon, IA 52253",$750/mo,2bd,1ba,912 sqft,52253,IA,Lisbon,116 Lincoln Ave  #8
"1003 W  29th Ave Bellevue, NE 68005","$1,850/mo",3bd,2ba,"1,531 sqft",68005,NE,Bellevue,1003 W  29th Ave
"702 20th Street Des Moines, IA 50314","$800 - $1,250/mo",Studio-2bd,1ba,No Data,50314,IA,Des Moines,702 20th Street
"1120 31st St Des Moines, IA 50311","$1,925/mo",4bd,1.5ba,"2,000 sqft",50311,IA,Des Moines,1120 31st St
"1338 W  Pleasant St Davenport, IA 52804","$1,295/mo",3bd,1ba,"1,399 sqft",52804,IA,Davenport,1338 W  Pleasant St
"520 S  4th St   #35 Ames, IA 50010",$650/mo,1bd,1ba,No Data,50010,IA,Ames,520 S  4th St   #35
"729 E  Bever Dr Towanda, KS 67144",$900/mo,3bd,2ba,980 sqft,67144,KS,Towanda,729 E  Bever Dr
"809 Justin St Lawrence, KS 66049","$2,795/mo",4bd,3.5ba,"2,650 sqft",66049,KS,Lawrence,809 Justin St
"407 W  5th St Newton, KS 67114",$695/mo,2bd,1ba,"1,000 sqft",67114,KS,Newton,407 W  5th St
"24340 W  57th St Shawnee, KS 66226","$2,295/mo",5bd,3ba,"2,170 sqft (on 0.32 acres)",66226,KS,Shawnee,24340 W  57th St
"721 N  Walnut St Olathe, KS 66061","$1,395/mo",2bd,1ba,900 sqft,66061,KS,Olathe,721 N  Walnut St
"516 E  12th Ave  #5 Emporia, KS 66801",$425/mo,Studio,1ba,450 sqft,66801,KS,Emporia,516 E  12th Ave  #5
"915 Kearney St   #B Manhattan, KS 66502","$1,600/mo",4bd,2ba,"1,434 sqft",66502,KS,Manhattan,915 Kearney St   #B
"1015 Kearney St   #3B Manhattan, KS 66502",$895/mo,2bd,2ba,950 sqft,66502,KS,Manhattan,1015 Kearney St   #3B
"2421 S. Yellowstone #1801 Wichita, KS 67215","$1,000/mo",2bd,1.5ba,No Data,67215,KS,Wichita,2421 S. Yellowstone #1801
"1809 N  Market St   #4 Wichita, KS 67214",$525/mo,1bd,1ba,500 sqft,67214,KS,Wichita,1809 N  Market St   #4
"6445 E  Castle Dr Wichita, KS 67207",$637/mo,1bd,1ba,No Data,67207,KS,Wichita,6445 E  Castle Dr
"274 N  6th St Kansas City, KS 66101","$1,000/mo",3bd,1ba,900 sqft,66101,KS,Kansas City,274 N  6th St
"Address Not Disclosed Danville, KY 40422","$1,500/mo",3bd,1ba,"1,343 sqft",40422,KY,Danville,Address Not Disclosed
"1136 Park Ave  #1 Newport, KY 41071","$1,100/mo",1bd,1ba,700 sqft,41071,KY,Newport,1136 Park Ave  #1
"809 Mickey Ln Lexington, KY 40509","$1,595/mo",3bd,2.5ba,"1,468 sqft",40509,KY,Lexington,809 Mickey Ln
"525 Lucille Dr Lexington, KY 40511","$2,100/mo",4bd,3ba,"2,578 sqft",40511,KY,Lexington,525 Lucille Dr
"3014 Bodie Ct Richmond, KY 40475","$1,500/mo",3bd,2ba,"1,650 sqft",40475,KY,Richmond,3014 Bodie Ct
"2100 S  Shelby St Louisville, KY 40217","$1,100/mo",2bd,1ba,"1,310 sqft",40217,KY,Louisville,2100 S  Shelby St
"Brownsboro 16 LLC Louisville, KY 40206",$795/mo,1bd,1ba,No Data,40206,KY,Louisville,Brownsboro 16 LLC
"728 Zorn Ave  #5 Louisville, KY 40206","$1,250/mo",2bd,2ba,974 sqft,40206,KY,Louisville,728 Zorn Ave  #5
"7402 Maurer Ln Louisville, KY 40258","$1,700/mo",3bd,1.5ba,"1,350 sqft",40258,KY,Louisville,7402 Maurer Ln
"18 Saratoga St   #401 Covington, KY 41011","$2,195/mo",2bd,2ba,No Data,41011,KY,Covington,18 Saratoga St   #401
"272 Emerson Bypass Rd   #BM-116 Russellville, KY 42276",$850/mo,3bd,2ba,960 sqft,42276,KY,Russellville,272 Emerson Bypass Rd   #BM-116
"3800 Misty Grove Ct La Grange, KY 40031","$2,200/mo",3bd,2ba,"1,683 sqft",40031,KY,La Grange,3800 Misty Grove Ct
"3654 Fox Tail Dr Clarksville, TN 37040","$1,895/mo",3bd,3.5ba,"1,933 sqft",37040,TN,Clarksville,3654 Fox Tail Dr
"Tapestry at Long Farm Baton Rouge, LA 70817","$1,259 - $1,835/mo",1-3bd,1-2ba,No Data,70817,LA,Baton Rouge,Tapestry at Long Farm
"1723 Clanton St Shreveport, LA 71108",$650/mo,2bd,1ba,950 sqft,71108,LA,Shreveport,1723 Clanton St
"Pelican Place Lake Charles, LA 70607",$795/mo,2bd,1.5ba,No Data,70607,LA,Lake Charles,Pelican Place
"819 Southfield Rd Lake charles, LA 70605","$1,800/mo",3bd,2ba,"1,735 sqft",70605,LA,Lake Charles,"819 Southfield Rd Lake charles, LA 70605"
"7072 Kodiak Dr Baton Rouge, LA 70810","$3,200/mo",3bd,2.5ba,"1,650 sqft",70810,LA,Baton Rouge,7072 Kodiak Dr
"639 S  10th St Baton Rouge, LA 70802","$1,550/mo",3bd,2ba,"1,100 sqft",70802,LA,Baton Rouge,639 S  10th St
"La Veranda at Polly Lane Lafayette, LA 70508","$1,295 - $1,625/mo",1-3bd,1-2ba,No Data,70508,LA,Lafayette,La Veranda at Polly Lane
"1205 Haring Rd Metairie, LA 70001","$2,500/mo",3bd,2ba,"2,208 sqft",70001,LA,Metairie,1205 Haring Rd
"The Highrise Nola New Orleans, LA 70126",$850/mo,1bd,1ba,No Data,70126,LA,New Orleans,The Highrise Nola
"101 Buddy Dr Lafayette, LA 70508","$1,995/mo",3bd,2ba,"2,284 sqft",70508,LA,Lafayette,101 Buddy Dr
"1900 Howard Dr Monroe, LA 71201","$1,413/mo",3bd,2ba,"1,400 sqft",71201,LA,Monroe,1900 Howard Dr
"1139 Saint Andrew St New Orleans, LA 70130","$5,500/mo",2bd,1.5ba,"1,400 sqft",70130,LA,New Orleans,1139 Saint Andrew St
"300 33rd St New Orleans, LA 70124","$3,500/mo",2bd,1.5ba,"1,300 sqft",70124,LA,New Orleans,300 33rd St
"2100 Saint Charles Ave #4J New Orleans, LA 70130","$1,800/mo",1bd,1ba,762 sqft,70130,LA,New Orleans,2100 Saint Charles Ave #4J
"330 Mound Ave New Orleans, LA 70124","$2,950/mo",3bd,2.5ba,"2,150 sqft",70124,LA,New Orleans,330 Mound Ave
"Forrest Park Apartments New Orleans, LA 70115",$865 - $925/mo,1bd,1ba,No Data,70115,LA,New Orleans,Forrest Park Apartments
"921 4th St Morgan City, LA 70380",$900/mo,2bd,1ba,900 sqft,70380,LA,Morgan City,921 4th St
"1005 William Dr Slidell, LA 70460","$2,200/mo",4bd,2.5ba,"2,278 sqft",70460,LA,Slidell,1005 William Dr
"122 Senator Picard Dr Maurice, LA 70555","$2,000/mo",4bd,2ba,"2,014 sqft",70555,LA,Maurice,122 Senator Picard Dr
"Hiawatha Apartments Portland, ME 04101","$1,811 - $2,253/mo",1bd,1ba,No Data,04101,ME,Portland,Hiawatha Apartments
"30 Day St   #2 South Portland, ME 04106","$2,600/mo",2bd,1ba,"1,100 sqft",04106,ME,Portland,30 Day St   #2 South
"21 Gold St   #4 Waterville, ME 04901","$1,100/mo",2bd,1ba,800 sqft,04901,ME,Waterville,21 Gold St   #4
"37 Westwood Ave Millinocket, ME 04462","$1,000/mo",3bd,1ba,960 sqft,04462,ME,,
"19 Freeman St York, ME 03909","$2,500/mo",4bd,2ba,"1,338 sqft",03909,ME,,
"Bayshore Landing Annapolis, MD 21401","$1,960 - $2,707/mo",1-2bd,1-2ba,No Data,21401,MD,Annapolis,Bayshore Landing
"612 Marlboro Rd Glen Burnie, MD 21061","$2,500/mo",3bd,2.5ba,"1,344 sqft",21061,MD,Glen Burnie,612 Marlboro Rd
"Arbors at Baltimore Crossroads Middle River, MD 21220","$1,675 - $2,510/mo",1-2bd,1-2ba,No Data,21220,MD,Baltimore,"Arbors at  Crossroads Middle River, MD 21220"
"3131 Baybriar Rd Baltimore, MD 21222","$1,920/mo",3bd,1ba,"1,092 sqft",21222,MD,Baltimore,3131 Baybriar Rd
"1712 Chesaco Ave Rosedale, MD 21237","$2,210/mo",3bd,1ba,"1,200 sqft",21237,MD,Rosedale,1712 Chesaco Ave
"703 Robinwood Dr Mount Airy, MD 21771","$2,000/mo",3bd,2.5ba,"1,683 sqft",21771,MD,Mount Airy,703 Robinwood Dr
"The Residences at the Manor Apartments Frederick, MD 21702","$1,630 - $2,290/mo",1-3bd,1-2ba,No Data,21702,MD,Frederick,The Residences at the Manor Apartments
"4845 Limestone Ct Aberdeen, MD 21001","$2,200/mo",4bd,3.5ba,"1,320 sqft",21001,MD,Aberdeen,4845 Limestone Ct
"8695 Manahan Dr Ellicott City, MD 21043","$2,500/mo",3bd,2.5ba,"1,700 sqft",21043,MD,Ellicott City,8695 Manahan Dr
"Element 28 Bethesda, MD 20814","$2,541 - $5,323/mo",1-3bd,1-2ba,No Data,20814,MD,Bethesda,Element 28
"5260 Pooks Hill Rd Bethesda, MD 20814","$3,500/mo",3bd,3.5ba,"2,168 sqft",20814,MD,Bethesda,5260 Pooks Hill Rd
"1219 Maple Grove Ln Rockville, MD 20850","$3,500/mo",3bd,3.5ba,"2,560 sqft",20850,MD,Rockville,1219 Maple Grove Ln
"Henson Creek Apartment Homes Temple Hills, MD 20748","$1,350 - $1,900/mo",1-3bd,1-1.5ba,No Data,20748,MD,Temple Hills,Henson Creek Apartment Homes
"1413 Canadian Geese Ct Upper Marlboro, MD 20774","$3,250/mo",5bd,3.5ba,"1,900 sqft",20774,MD,Upper Marlboro,1413 Canadian Geese Ct
"4025 34th St Washington, MD 20712","$2,950/mo",3bd,2.5ba,"1,350 sqft",20712,MD,,
"45 Charles St   #1 Solomons, MD 20688","$2,500/mo",2bd,2.5ba,"1,000 sqft",20688,MD,Solomons,45 Charles St   #1
"The Reserve at Parsons Lake Salisbury, MD 21804","$1,325 - $1,800/mo",1-3bd,1-2ba,No Data,21804,MD,Salisbury,The Reserve at Parsons Lake
"1935 Whistler Ave Baltimore, MD 21230","$1,440/mo",3bd,1ba,928 sqft,21230,MD,Baltimore,1935 Whistler Ave
"3441 Chestnut Ave Baltimore, MD 21211","$3,480/mo",3bd,2.5ba,"3,000 sqft",21211,MD,Baltimore,3441 Chestnut Ave
"1312 Patapsco St Baltimore, MD 21230","$3,297/mo",3bd,2.5ba,"2,176 sqft",21230,MD,Baltimore,1312 Patapsco St
"251 Robert St   #6 Baltimore, MD 21217","$1,150/mo",1bd,1ba,750 sqft,21217,MD,Baltimore,251 Robert St   #6
"Avalon Easton South Easton, MA 02375","$2,335 - $3,945/mo",1-3bd,1-2.5ba,No Data,02375,MA,,
"Address Not Disclosed Taunton, MA 02780","$1,350/mo",1bd,2ba,"2,986 sqft",02780,MA,Taunton,Address Not Disclosed
"12 Madison St Newburyport, MA 01913","$3,600/mo",3bd,1ba,No Data,01913,MA,Newburyport,12 Madison St
"381 S  Main St   #2 Haverhill, MA 01835","$2,000/mo",2bd,1ba,800 sqft,01835,MA,Haverhill,381 S  Main St   #2
"25 Day Ave  #B Westfield, MA 01085","$1,800/mo",2bd,1ba,900 sqft,01085,MA,Westfield,25 Day Ave  #B
"Riverbend on The Charles Watertown, MA 02472","$2,185 - $3,470/mo",Studio-2bd,1-2ba,No Data,02472,MA,,
"148 Langdon Ave Watertown, MA 02472","$2,775/mo",3bd,1ba,No Data,02472,MA,,
"112 Bedford St Concord, MA 01742","$3,500/mo",3bd,2.5ba,"1,500 sqft",01742,MA,,
"49 Warren Ave  #2 Waltham, MA 02452","$2,800/mo",2bd,1ba,No Data,02452,MA,Waltham,49 Warren Ave  #2
"Village Green Apartments Plainville, MA 02762","$1,815 - $2,285/mo",Studio-2bd,1-1.5ba,No Data,02762,MA,,
"251 Winchester St Brookline, MA 02446","$6,500/mo",4bd,3ba,No Data,02446,MA,,
"99 Thornton Rd Chestnut Hill, MA 02467","$3,200/mo",2bd,1.5ba,950 sqft,02467,MA,,
"12 Sewall Ave  #5 Brookline, MA 02446","$2,325/mo",Studio,1ba,500 sqft,02446,MA,,
"150 Water St   #205 Plymouth, MA 02360","$2,800/mo",1bd,1ba,650 sqft,02360,MA,,
"The Alyx at EchelonSeaport Boston, MA 02210","$3,404 - $11,750/mo",Studio-3bd,1-3ba,No Data,02210,MA,Boston,The Alyx at EchelonSeaport
"84 Fenway #31 Boston, MA 02115","$5,900/mo",4bd,2ba,"9,999 sqft",02115,MA,Boston,84 Fenway #31
"15 Saint Lukes Rd   #33 Allston, MA 02134","$3,300/mo",3bd,1ba,No Data,02134,MA,,
"601 Albany St   #Z Boston, MA 02118","$2,700/mo",Studio,1ba,565 sqft,02118,MA,Boston,601 Albany St   #Z
"185 Canterbury St   #1 Worcester, MA 01603","$1,800/mo",2bd,1ba,950 sqft,01603,MA,Worcester,185 Canterbury St   #1
"29 Euclid Ave  #2 Worcester, MA 01610","$1,699/mo",2bd,1ba,"1,200 sqft",01610,MA,Worcester,29 Euclid Ave  #2
"2410 Cedar Walk Macatawa, MI 49434","$2,500/mo",4bd,2ba,"1,636 sqft",49434,MI,Cedar,"2410  Walk Macatawa, MI 49434"
"993 Michigan Ave  E  #G8 Battle Creek, MI 49014",$850/mo,2bd,1ba,No Data,49014,MI,Battle Creek,993 Michigan Ave  E  #G8
"916 W  Ottawa St   #4 Lansing, MI 48915",$650/mo,1bd,1ba,730 sqft,48915,MI,Lansing,916 W  Ottawa St   #4
"1113 Gilbert St Flint, MI 48532","$1,025/mo",2bd,1ba,"1,050 sqft",48532,MI,Flint,1113 Gilbert St
"Studio, 350 sqft, $650 Lansing, MI 48910",$650/mo,Studio,1ba,No Data,48910,MI,Lansing,"Studio, 350 sqft, $650"
"1205 W  Hillsdale St   #0 Lansing, MI 48915","$1,200/mo",3bd,1ba,"1,500 sqft",48915,MI,Lansing,1205 W  Hillsdale St   #0
"3421 W  Michigan Ave Kalamazoo, MI 49006","$2,250/mo",6bd,2.5ba,No Data,49006,MI,Kalamazoo,3421 W  Michigan Ave
"1 bed, $795 Grand Rapids, MI 49503",$795/mo,1bd,1ba,No Data,49503,MI,Grand Rapids,"1 bed, $795"
"444 Bellewood St   SE #60 Grand Rapids, MI 49548","$1,629/mo",3bd,2ba,"1,276 sqft",49548,MI,Grand Rapids,444 Bellewood St   SE #60
"745 Lyon St   NE #1 Grand Rapids, MI 49503","$1,650/mo",3bd,1ba,"1,080 sqft",49503,MI,Grand Rapids,745 Lyon St   NE #1
"61 Hunters Rill Lapeer, MI 48446",$846/mo,2bd,1ba,924 sqft,48446,MI,Lapeer,61 Hunters Rill
"176.5 Smith St Mount Clemens, MI 48043","$1,150/mo",1bd,1ba,"1,000 sqft",48043,MI,Mount Clemens,176.5 Smith St
"48288 Jefferson Ave Chesterfield, MI 48047","$1,999/mo",3bd,1ba,"1,400 sqft",48047,MI,,
"31306 Nelson Dr Warren, MI 48088","$1,600/mo",3bd,2ba,"1,348 sqft",48088,MI,Warren,31306 Nelson Dr
"Redwood Midland Midland, MI 48642","$1,749 - $1,924/mo",2bd,2ba,No Data,48642,MI,Midland,Redwood 
"CiderMill Village Rochester, MI 48307","$1,737 - $2,519/mo",2-3bd,2-2.5ba,No Data,48307,MI,Rochester,CiderMill Village
"417 W  Meyers Ave Hazel Park, MI 48030","$1,200/mo",3bd,1ba,900 sqft,48030,MI,Hazel Park,417 W  Meyers Ave
"3372 Tremonte Cir N  #1 Rochester, MI 48306","$1,975/mo",2bd,2ba,"1,533 sqft",48306,MI,Rochester,3372 Tremonte Cir N  #1
"758 E  Fox Hills Dr   #758 Bloomfield Hills, MI 48304",$995/mo,1bd,1ba,727 sqft,48304,MI,Bloomfield Hills,758 E  Fox Hills Dr   #758
"7493 Westlane Ave Jenison, MI 49428","$1,800/mo",3bd,1.5ba,"1,100 sqft",49428,MI,Jenison,7493 Westlane Ave
"2675 Military St Port Huron, MI 48060",$775/mo,1bd,1ba,No Data,48060,MI,Port Huron,2675 Military St
"The Villas at Northstar Ann Arbor, MI 48105","$1,700 - $2,255/mo",1-2bd,1-2ba,No Data,48105,MI,Ann Arbor,The Villas at Northstar
"217 S  Hamilton St Ypsilanti, MI 48197","$2,400/mo",2bd,1.5ba,936 sqft,48197,MI,Ypsilanti,217 S  Hamilton St
"47808 Pembroke Dr   #115 Canton, MI 48188","$1,750/mo",2bd,2ba,"1,385 sqft",48188,MI,,
"18677 Coyle St Detroit, MI 48235","$1,265/mo",3bd,1ba,"1,033 sqft",48235,MI,Detroit,18677 Coyle St
"322 Perry Pl   #2 Wyandotte, MI 48192",$775/mo,1bd,1ba,650 sqft,48192,MI,Wyandotte,322 Perry Pl   #2
"1272 Norton Ave  NE Minneapolis, MN 55432","$1,650/mo",2bd,1ba,"1,232 sqft",55432,MN,Minneapolis,1272 Norton Ave  NE
"Address Not Disclosed Chanhassen, MN 55317","$2,300/mo",4bd,2ba,"1,600 sqft",55317,MN,Chanhassen,Address Not Disclosed
"The Apex Burnsville, MN 55306","$1,325 - $1,831/mo",1-2bd,1-2ba,No Data,55306,MN,Burnsville,The Apex
"419 Romeo Dr   #297 Lakeville, MN 55044","$1,850/mo",3bd,2ba,No Data,55044,MN,Lakeville,419 Romeo Dr   #297
"Lilium Apartments Minneapolis, MN 55404",$899 - $919/mo,Studio,1ba,No Data,55404,MN,Minneapolis,Lilium Apartments
"Lume Minneapolis, MN 55414","$1,150/mo",Studio,1ba,No Data,55414,MN,Minneapolis,Lume
"7709 Major Ave N Brooklyn Park, MN 55443","$2,495/mo",4bd,4ba,"2,420 sqft",55443,MN,Brooklyn Park,7709 Major Ave N
"2707 Fremont Ave  S  #3 Minneapolis, MN 55408","$1,395/mo",3bd,2ba,"1,390 sqft",55408,MN,Minneapolis,2707 Fremont Ave  S  #3
"400 10th Ave  NW #4 Austin, MN 55912",$795/mo,2bd,1ba,650 sqft,55912,MN,Austin,400 10th Ave  NW #4
"3833 4th Pl NW Rochester, MN 55901","$1,495/mo",3bd,1ba,"1,148 sqft",55901,MN,Rochester,3833 4th Pl NW
"South Highland Saint Paul, MN 55116","$1,070/mo",1bd,1ba,No Data,55116,MN,,
"1698 Hewitt Ave Saint Paul, MN 55104","$2,650/mo",5bd,2ba,No Data,55104,MN,Hewitt,"1698  Ave Saint Paul, MN 55104"
"903 Marion St Saint Paul, MN 55117","$1,950/mo",4bd,2ba,"1,604 sqft",55117,MN,Marion,"903  St Saint Paul, MN 55117"
"432 N  7th Ave  E  #1BA-2 Duluth, MN 55805","$2,400/mo",2bd,1ba,750 sqft,55805,MN,Duluth,432 N  7th Ave  E  #1BA-2
"Grand River Estates Saint Cloud, MN 56301","$1,080 - $1,810/mo",1-3bd,1-2ba,No Data,56301,MN,,
"6679 93rd St   S Cottage Grove, MN 55016","$3,200/mo",4bd,3ba,"2,284 sqft",55016,MN,Cottage Grove,6679 93rd St   S
"10065 42nd St NE Saint Michael, MN 55376","$2,460/mo",5bd,4ba,"3,173 sqft",55376,MN,,
"3565 Carroll Dr Horn Lake, MS 38637","$1,445/mo",3bd,1.5ba,"1,120 sqft",38637,MS,Horn Lake,3565 Carroll Dr
"5268 Ross Rd Memphis, TN 38141","$1,685/mo",3bd,2ba,"1,576 sqft",38141,TN,Memphis,5268 Ross Rd
"15061 Rosewood St Gulfport, MS 39503","$2,000/mo",3bd,2ba,"1,306 sqft",39503,MS,Gulfport,15061 Rosewood St
"110 Glendale St Clinton, MS 39056","$1,365/mo",3bd,2ba,"1,300 sqft",39056,MS,Clinton,110 Glendale St
"207 S  19th Ave Hattiesburg, MS 39401","$1,100/mo",3bd,1ba,"1,116 sqft",39401,MS,Hattiesburg,207 S  19th Ave
"158 Graduate Hill Dr Starkville, MS 39759",$900/mo,1bd,1ba,770 sqft,39759,MS,Starkville,158 Graduate Hill Dr
"1410 S  Davis St Kirksville, MO 63501",$825/mo,3bd,1.5ba,"1,938 sqft",63501,MO,Kirksville,1410 S  Davis St
"1503 Lurlyn Dr Poplar Bluff, MO 63901","$1,500/mo",3bd,2ba,"1,700 sqft",63901,MO,Poplar Bluff,1503 Lurlyn Dr
"2 bed, $750 Belton, MO 64012",$750/mo,2bd,1ba,No Data,64012,MO,Belton,"2 bed, $750"
"Staley Crossing Kansas City, MO 64155","$1,757 - $1,802/mo",3bd,2-2.5ba,No Data,64155,MO,Kansas City,Staley Crossing
"5032 NE 56th Ter Kansas City, MO 64119","$1,500/mo",3bd,1ba,894 sqft,64119,MO,Kansas City,5032 NE 56th Ter
"1387 S  Normandy Ave Republic, MO 65738","$1,425/mo",3bd,2ba,"1,340 sqft",65738,MO,Republic,1387 S  Normandy Ave
"Walnut Place Apartments Springfield, MO 65806",$575 - $800/mo,1-2bd,1ba,No Data,65806,MO,Springfield,Walnut Place Apartments
"1705 N  Blue Mills Rd Independence, MO 64056","$1,845/mo",3bd,2ba,"2,064 sqft",64056,MO,Independence,1705 N  Blue Mills Rd
"11001 E  59th St Raytown, MO 64133","$1,695/mo",3bd,2ba,"2,160 sqft",64133,MO,Raytown,11001 E  59th St
"9408 Manchester Ave Kansas City, MO 64138","$1,275/mo",3bd,1ba,No Data,64138,MO,Kansas City,9408 Manchester Ave
"2014 E  48th Ter Kansas City, MO 64130","$1,295/mo",3bd,1ba,"1,000 sqft",64130,MO,Kansas City,2014 E  48th Ter
"Oakbrook Gardens Saint Louis, MO 63129","$715 - $1,055/mo",1-3bd,1-2ba,No Data,63129,MO,,
"4800 Eagleview Dr Osage Beach, MO 65065","$1,500/mo",2bd,2ba,"1,300 sqft",65065,MO,Osage Beach,4800 Eagleview Dr
"1935 NW 82nd Ter Kansas City, MO 64151","$1,945/mo",3bd,3.5ba,"1,965 sqft",64151,MO,Kansas City,1935 NW 82nd Ter
"506 Palisades Dr Saint Charles, MO 63301","$1,995/mo",2bd,2.5ba,"1,900 sqft",63301,MO,,
"2910 Championship Blvd Saint Louis, MO 63129","$3,000/mo",4bd,3.5ba,"1,980 sqft",63129,MO,,
"2950 Kincaid Ave Saint Louis, MO 63114",$900/mo,1bd,1ba,728 sqft,63114,MO,,
"10 Bonnie Ct Florissant, MO 63033","$1,745/mo",4bd,2ba,"1,538 sqft",63033,MO,Florissant,10 Bonnie Ct
"7169 Lyndover Pl   #B2 Saint Louis, MO 63143",$850/mo,2bd,1ba,No Data,63143,MO,,
"610 Abby Ln #18 Branson, MO 65616","$1,300/mo",2bd,2ba,870 sqft,65616,MO,Branson,610 Abby Ln #18
"2 bed, 2.5 bath, 1200 sqft, $1,795 Saint Louis, MO 63108","$1,795/mo",2bd,2.5ba,No Data,63108,MO,,
"6420-6422 Hampton Ave. Saint Louis, MO 63109",$900/mo,1bd,1ba,No Data,63109,MO,,
"6529 Clayton Ave  #2W Saint Louis, MO 63139","$1,400/mo",2bd,1ba,"1,100 sqft",63139,MO,Clayton,"6529  Ave  #2W Saint Louis, MO 63139"
"4141 Oregon Ave  #2 Saint Louis, MO 63118",$650/mo,1bd,1ba,No Data,63118,MO,Oregon,"4141  Ave  #2 Saint Louis, MO 63118"
"1020 Helena Flats Rd   #B Kalispell, MT 59901","$1,400/mo",2bd,1ba,"1,200 sqft",59901,MT,Helena,"1020  Flats Rd   #B Kalispell, MT 59901"
"510 Nucleus Ave Columbia Falls, MT 59912","$1,950/mo",2bd,2ba,No Data,59912,MT,Columbia Falls,510 Nucleus Ave
"Nexus Point Apartments Bozeman, MT 59715","$2,100 - $2,610/mo",2bd,1-2ba,No Data,59715,MT,Bozeman,Nexus Point Apartments
"626 S  38th St W  #6 Billings, MT 59102","$2,150/mo",3bd,1.5ba,"1,750 sqft",59102,MT,Billings,626 S  38th St W  #6
